Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"Australia, Devonport",16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.21,16.53,,,,,,,,,,,,,,,,,,,,,
"Australia, Esperance",,,,,,,,,10.27,10.27,10.27,10.27,10.27,10.27,,,,,,,,,,,,17.93,17.93,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia, Fremantle",93.15,102.7,108.64,108.68,107.16,117.53,125.66,120.56,121.37,121.14,139.23,133.6,121.95,120.21,121.24,122.54,119.85,127.48,127.45,143.35,143.29,151.92,152.63,136.73,127.6,135.58,134.99,140.14,138.05,134.85,133.76,133.8,138.6,142.32,139.33,153.47,143.58,133.39,135.07,125.18,141.64,140.08,145.78,154.7,142.61,132.74,138.54,129.25,129.47,128.04,132.17,133.76,135.78,133.52,133.45,124.13,122.03,123.54,125.59,129.8,128.36,128.81,124.55,122.55,123.02,122.84,121.62,126.66,141.3,136.94,136.61,124.97,124.66,121.95,121.12,122.11,122.03,121.67,120.11,120.15,120.4,121.83
"Australia, Geelong",,,,,,,,,,,,,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,25.64,25.64,25.64,26.91,26.91,26.91,26.91,26.91,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,,,,,,,,,,,,,,
"Australia, Gladstone",27.01,27.01,27.01,27.01,27.01,27.01,27.01,17.59,17.59,17.59,17.59,17.59,16.95,16.95,,,,,,,,,,,16.75,20.04,23.84,23.84,20.04,20.68,20.68,23.95,25.92,25.92,25.92,25.92,25.92,25.89,25.89,25.89,25.86,34.52,34.55,16.15,16.15,16.15,16.15,29.75,29.75,29.75,38.03,38.03,38.03,38.03,38.07,18.23,,,,,,,,,,,,,,21.82,21.82,21.82,21.82,21.18,21.18,21.18,21.18,21.18,21.18,28.57,28.57,28.57
"Australia, Hobart",19.63,19.63,19.63,19.63,19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.62,18.62,18.62,16.1,16.1,16.1,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia, Mackay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,9.54,9.54,9.54,9.54,9.54,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia, Melbourne",297.5,305.78,302.57,303.31,303.98,310.88,306.96,316.1,316.45,331.94,337.3,318.75,311.4,302.78,289.4,288.29,284.27,290.28,307.96,324.35,318.13,311.32,323.45,298.26,294.61,300.74,301.43,303.78,304.88,292.8,289.08,286.87,284.16,293.92,294.67,290.38,288.7,294.14,298.33,301.65,307.16,306.45,297.73,293.78,303.3,291.62,297.2,291.65,291.8,287.02,282.66,286.97,288.31,294.6,284.64,284.29,277.16,272.83,276.87,283.92,294.15,284.28,284.53,282.54,282.18,294.07,293.5,301.88,288.99,299.38,298.85,278.75,272.14,279.19,270.81,270.79,272.12,273.02,271.08,278.46,281.52,282.61
"Australia, Newcastle",33.47,33.7,33.7,33.7,33.7,34.97,34.03,44.94,44.94,43,48.78,46.7,45.31,45.08,40.45,40.45,39.44,39.44,41.72,47.22,47.91,47.91,47.84,43.54,43.38,29.58,29.58,34.76,46.17,47.44,47.78,47.87,48.09,48.15,46.27,46.27,38.98,37.99,38.62,39.88,39.88,39.88,40.29,40.29,33.58,33.58,31.97,31.97,31.97,31.97,31.8,31.8,31.8,31.8,31.8,23.48,24.11,24.11,23.56,23.53,22.82,22.82,22.82,23.11,23.13,23.13,23.13,23.12,23.12,23.16,23.16,32.29,30.91,30.92,21.79,29.55,29.55,29.55,21.79,21.79,21.79,21.79
"Australia, Port Alma",8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia, Port Botany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03,13.03,12.9,12.9,12.9,12.9,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,,,,,,,,,,,,,,,
"Australia, Port Hedland",9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,17.77,18.09,18.09,19.98,13.9,13.9,27.33,27.33,26.97,26.97,26.97,13.9,13.9,,,,8.21,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,12.78,12.78,18.77,18.76,26.97,18.19,13.99,13.99,14.32,13.79,13.79,13.79,8.96,14.86,14.86,14.86,10.18,10.18,10.18,10.18,10.18,10.18
"Australia, Port Kembla",43.84,42.57,42.57,42.57,42.57,43.84,42.9,53.18,53.18,51.23,50.6,48.51,41.8,40.93,43.56,43.56,40.07,40.07,40.16,39.18,39.85,40.48,40.41,43.54,34.05,22.48,22.48,22.48,31.62,27.84,26.3,36.14,36.2,36.2,36.2,36.2,29.05,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.37,22.37,23.64,23.64,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,10.99,10.04,10.04,10.04,10.04,10.04,10.76,10.76,10.76,10.76,10.76,12.01,12.01,12.01,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05
"Australia, Sydney",254.99,260.14,261.08,258.02,258.79,266.25,267.73,266.28,266.63,280.69,282.07,262.45,251.82,247.7,237.16,237.86,237.43,240.76,262.94,269.4,263.17,245.59,257.34,249.58,241.73,248.98,242.69,243.06,246.67,241.62,250.04,251.7,252.25,259.22,259.05,258.23,255.83,258.54,262.09,265.27,266.44,259.61,253.45,256.51,249.82,243.49,252.55,251,250.59,249.98,242.39,244.02,246.5,245.13,252.8,246.49,239.13,234.83,235.7,244.89,252.22,258.02,258,250.81,251.07,266.96,266.43,275.92,277.13,278.68,277.61,256.28,253.6,257.55,248.57,254.65,255.87,256.82,254.19,257.02,259.8,260.85
"Australia, Townsville",22.23,22.23,22.23,22.23,22.23,43.1,48.63,50.21,55.47,63.65,63.65,65.99,69.55,73.79,60.53,66.95,64.95,62.34,71.83,71.85,66.25,56.79,47.55,47.6,48.07,43.97,43.97,43.97,43.97,44.04,44.04,47.07,47.71,50.71,45.67,52.21,47.32,47.19,52.06,50.16,50.13,50.39,50.42,50.43,51.41,56.25,59.05,61.03,56.26,54.04,59.99,61.58,61.64,70.09,62.85,54.27,53.64,52.89,52.89,60.47,60.19,60.22,53.72,53.72,53.72,53.72,55,55,55,56.49,56.57,56.57,56.57,58.87,58.87,58.83,58.82,58.82,58.82,64.82,64.16,64.16
"Australia, Weipa",,,,,,,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,,,,,,,,,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,,,,,,,,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,,,,,,,,,,,,,,,,,,,
"Australia, Wyndham",9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,,,,,,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, Andros Island",,,,,,7.59,7.59,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.25,8.25,8.25,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, Eleuthera Island",,,,,,7.59,7.59,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.25,8.25,8.25,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, Freeport (BS)",125.42,118.23,114.96,115.22,115.9,120.57,120.09,126.82,120.51,115.78,121.37,121.87,118.15,120.19,117.82,123.85,135.82,137.57,136.86,134.18,135.31,135.9,124.12,143.13,140.81,129.59,135.1,137.55,138.38,138.73,130.52,130.71,129.67,132.96,145.68,146.48,152.49,140.27,141.24,153.21,160.71,162.87,174.71,177.57,163.22,172.01,161.77,161.72,161.07,161.43,152.51,151.79,165.74,180.96,188.24,182.3,191.52,162.74,169.68,187.1,189.9,201.97,201.18,170,168.48,161.83,173.62,165.53,167.94,165.09,174.41,170.33,179.06,179.91,170.98,179.79,146.48,149.35,145.78,173.91,219.77,184.23
"Bahamas, Marsh Harbour",,,,,,,,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.25,8.25,8.25,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, Nassau",15.69,15.69,15.69,15.69,15.69,15.69,15.69,23.14,23.14,23.14,23.14,23.14,26.06,26.06,26.06,26.06,24.27,24.27,24.01,24.27,24.27,24.38,24.38,23.34,23.34,23.34,23.34,23.34,23.34,25.11,25.11,25.11,25.11,25.11,25.11,25.11,33.92,33.92,33.92,33.92,33.92,33.92,33.92,33.9,33.9,33.9,30.59,30.59,22.93,22.93,23.1,23.1,16.59,16.59,26.69,26.69,27.18,27.18,27.18,27.27,36.48,36.48,36.48,38.38,37.78,37.78,37.78,38.97,38.97,38.97,38.46,39.69,39.69,34.34,34.34,34.34,34.08,37.5,37.85,37.85,37.88,37.88
"Bahrain, Bahrain",78.56,78.85,79.42,79.42,84.97,82.67,82.9,94.74,95.23,90.48,95.89,86.14,67.32,67.81,91.02,85.43,79.02,115.24,116.48,104.98,112.27,104.97,99.51,105.74,119.67,110.66,117.07,109.48,126.48,128.72,126.56,127.47,124.6,126.57,128.15,128.45,120.87,112.99,108.5,116.12,105.44,108.49,96.29,57.66,59.98,116.57,106.55,106.82,105.96,105.58,105.75,97.81,94.25,93.71,45.97,53.05,52.65,52.24,93.68,102.68,103.37,104.84,99.48,110.67,123.54,124.58,65.48,74.78,75.03,86.02,53.27,118.71,66.66,82.59,80.64,121,72.61,75.73,124.32,140.43,178.07,58.61
"Bangladesh, Chalna",10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh, Chittagong",105.43,113.4,117.93,118.13,118.47,140.89,136.28,148.93,131.82,115.57,136.89,135.32,121.87,112.48,115.14,108.45,102.07,96.73,113.06,110.87,119.63,109.08,107.39,105.96,115.94,102.15,102.16,98.7,96.95,96.12,109.75,116.91,111.91,123.77,125.25,119.17,126.88,139.74,139.73,157.23,148.24,152.44,163.8,146.26,154.16,160.4,149.85,150.93,171.8,169.89,163.92,177.8,163.7,164.59,162.57,154.91,161.67,162.31,171.82,189.72,194.21,199.86,210.21,204.3,212.07,203.26,221.96,227.17,212.24,217.44,236.83,213.97,197.26,187.98,178.23,188.37,211.4,209.18,211.47,202.87,202.78,211.12
"Bangladesh, Mongla",28.51,28.51,28.51,28.51,28.51,29.28,29.28,26.4,26.4,15.66,15.66,15.66,16.88,13.83,15.54,13.92,13.92,13.92,13.92,13.92,14.42,14.18,14.18,13.68,13.68,13.68,13.68,9.18,10.36,10.36,10.36,10.7,10.7,10.7,10.87,16.28,16.29,24.55,24.55,24.07,24.07,24.07,24.07,24.07,24.55,24.55,24.55,18.52,18.52,18.52,19.16,19.16,19.08,19.08,20.1,20.29,23.24,23.28,20.26,19.63,19.63,13.18,13.18,13.22,13.1,13.1,13.1,13.1,13.1,23.83,13.1,28.49,28.49,27.63,27.7,27,27,26.37,26.37,26.37,26.37,26.35
"Barbados, Bridgetown",76.26,76.26,76.29,76.28,70.43,76.68,84.78,69.25,83.13,83.73,76.39,71.78,71.78,75.36,75.36,75.36,89.9,89.9,87.76,82.58,81.26,75.94,64.33,66.23,67.49,67.48,67.45,67.45,67.7,61.98,69.83,69.83,69.61,70.15,70.15,66.68,66.73,70.38,66.97,67.76,71.54,75.56,83.02,83.13,83.48,83.48,71.83,74.63,75.98,76.81,70.77,70.77,70.13,66.55,67.3,67.3,66.73,66.74,67.11,74.15,73.58,73.59,67.17,62.57,63.88,70.17,70.17,70.2,74.91,75.6,75.77,79.23,83.39,80.07,81.56,80.91,79.09,72.76,74.36,76.91,74.65,71.44
"Belgium, Antwerp",1019.35,1046.24,1064.71,1057.18,1059.12,1063.41,1072.37,1099.96,1110.53,1091.76,1080.26,1097.12,1063.38,1039.03,1019.61,996.4,1032.27,1051.55,1044.54,1067.87,1075.57,1058.81,1046.21,1022.59,1025.55,1024.55,1010.31,1008.97,978.48,967.67,967.43,963.74,939.41,977.95,973.22,969.67,955.92,986.18,1037.03,1040.2,1036.16,1018.34,1030.54,1007.02,994.36,989.82,962.49,980.73,994.85,1015.99,984.99,975.71,982.92,977.13,936.05,947.97,955.07,940.97,935.53,928.35,941.73,943.01,922.32,920.77,904.18,875.88,887.53,897.72,887.35,922.29,938.85,925.44,893.22,908.5,915.12,924.64,907.5,906.47,879.01,898.39,896.94,902.03
"Belgium, Ghent",,,,,,,,,,,,,12.16,14.72,14.72,25.97,25.43,24.79,24.69,26.04,22.34,22.45,22.45,23.06,18.87,18.87,13.41,13.41,13.41,15.36,15.99,15.99,15.99,14.5,14.5,14.48,14.48,13.23,13.87,14.5,14.5,14.5,14.5,,,,,,,,12.61,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,10.12,10.12,10.12,10.12,
"Belgium, Ostend",,,,,,,,,50.91,34.99,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgium, Zeebrugge",245.14,225.25,242.45,218.59,216.18,226.57,219.55,259.37,235.43,283.25,312.17,296.89,307.43,301.02,267.8,284.46,283.59,277.02,282.51,251.76,252.15,236.82,235.73,244.36,234.91,239.86,236.14,239.95,204.02,204.57,218.22,213.41,211.84,186.64,198.19,204.71,210.48,173.86,183.26,192.61,181.73,152.59,142.78,56.72,160.17,243.83,237.3,124.99,155.37,158.97,157.5,161.44,142.75,170.64,183.13,187.21,178.91,186.23,186.44,172.22,171.38,188.5,201.93,188.35,204.29,225.82,257.4,222.5,190.45,206.52,191.66,172.81,163.54,162.79,169.51,168,199.64,224.35,243.96,236.3,216.11,225.45
"Belize, Belize City",32.03,32.03,26.13,26.13,26.71,26.71,23.52,23.52,17.58,17.58,23.62,22.98,40.63,34.6,34.42,34.42,34.11,34.75,22.79,22.79,30.05,30.05,30.05,31.32,30.05,28.55,28.55,28.55,37.77,37.9,39.55,39.55,40.16,38.93,38.93,38.94,38.94,38.67,38.67,34.74,37.3,37.29,37.29,24.71,32.9,32.9,31.85,31.85,31.85,43.24,42.6,42.6,42.6,38.38,46.55,45.73,45.09,45.09,45.2,25.89,25.83,25.83,26.82,20.79,8.04,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.26,15.26,15.26,15.26,15.26,19.52,19.52,26.33,26.33
"Belize, Big Creek",,,,,,,,,19.18,19.17,,,,,,,,,,,,,,,21.25,21.25,21.41,22.05,21.25,21.25,22.52,21.41,21.42,21.42,23.96,23.96,21.42,20.14,20.78,20.78,20.14,20.78,37.86,34.68,34.68,34.68,34.68,34.68,34.68,19.98,26.59,27.23,27.32,27.32,27.32,27.32,19.98,19.98,19.98,19.98,20.62,21.47,21.47,21.49,22.13,22.13,22.13,22.08,22.13,22.12,22.12,22.12,21.41,21.42,21.42,21.42,21.42,20.79,20.78,12.88,13.32,13.29
"Benin, Cotonou",117.95,91.27,91.82,105.9,95.17,96.17,93.3,93.22,107.76,106.09,97.36,94.39,96.58,104.4,113.93,115.68,105.69,116.16,129.73,102.21,122.09,122.44,137.78,137.19,136.92,143.28,123.3,117.63,118.09,124.42,146.93,146.19,151.64,149.14,157.98,148.15,145.75,153.62,156.45,138.27,137.05,125.88,130.52,125.15,123.21,130.51,129.95,141.85,145.11,138.82,149.24,147.62,135.92,134.79,134.72,131.72,138.61,141.3,158.13,140.41,155.69,156.51,155.71,154.77,156.16,158.96,175.1,152.32,148.4,144.71,147.53,150.61,127.16,118.6,121.95,121.28,130.57,143.48,149.47,153.09,171.43,166.78
"Bermuda, Hamilton (BM)",20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.23,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.62,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.26,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01
"Bonaire, Sint Eustatius and Saba, Kralendijk",,,,,,,,,,,,,,,16.68,16.68,18.15,18.15,18.15,18.1,18.1,18.1,,,,21.09,21.09,21.09,21.71,21.71,21.71,21.71,21.71,21.39,21.39,21.39,18.85,30.77,30.77,32.05,37.37,37.43,24.78,24.78,24.78,24.78,24.78,24.78,24.78,34.44,34.44,33.81,19.51,19.51,19.49,18.86,18.87,18.87,18.87,18.69,18.69,18.69,18.61,18.61,19.88,19.88,19.88,,,,,11.8,11.8,11.8,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38
"Bonaire, Sint Eustatius and Saba, St Eustatius",15.88,15.88,15.88,15.88,15.88,15.88,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil, Belem",26.01,39.31,39.33,40.01,40.02,28.8,28.92,29,29.01,28.99,29.65,30.28,30.28,28.37,28.37,28.37,28.38,28.38,22.16,26.02,26.88,26.88,26.1,26.06,26.06,26.06,26.25,27.28,26.89,26.89,26.44,26.89,26.89,27.28,27.28,27.2,27.2,25.88,25.88,27.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil, Fazendinha",,,,,,,,,,,,,,,,,,,,17.1,17.16,17.16,14.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil, Fortaleza",75.54,62.19,77.59,78.91,72.45,81.46,72.61,66.24,54.27,53.85,58.71,59.33,60.25,48.72,48.72,48.72,50.48,50.48,40.04,39.4,40.08,40.08,38.21,46.48,46.37,46.37,54.03,57.49,57.49,54.13,57.37,57.36,49.96,49.96,50,50,50,50,50,48.79,47.57,46.01,46.04,46.04,46.04,46.04,46.04,46.04,46.15,46.15,46.15,50.38,32.19,32.19,32.19,37.41,32.19,31.86,22.99,27.42,30.18,29.39,29.39,30.44,22.99,22.99,22.99,22.99,22.99,22.36,35.05,35.69,22.87,22.88,22.88,35,35.04,22.88,22.88,34.54,22.88,22.88
"Brazil, Ilheus",,,,,,,,,,,,,,,,,,,,,,,,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil, Imbituba",46.59,47.09,15.79,36.12,21.85,46.89,19.23,19.23,21.31,21.31,19.86,21.81,21.81,27.63,38.44,37.65,33.55,34.49,31.94,33.41,36.81,24.88,24.98,26.96,26.96,44.16,44.13,68.45,46.14,46.77,45.48,46.53,30.65,34.22,35.22,35.43,35.29,35.29,,,,,,,,,72.49,72.49,71.94,71.94,72.02,72.69,32.49,32.49,32.49,29.49,29.49,29.49,29.49,29.64,29.64,29.64,29.64,28.84,28.84,31.68,31.68,31.68,31.68,31.68,31.68,31.88,31.88,58.65,58.66,93.22,95.33,92.11,87.93,52.04,53.97,50.96
"Brazil, Itajai",217.55,212.54,224.03,216.88,208.05,219.97,209.14,214.85,219.51,176.83,175.55,171.75,111.76,111.4,95.9,86.94,89.36,104.15,147.45,140.83,136.75,154.34,151.08,158.53,143.69,141.4,141.52,122.86,130.44,131.61,135.13,141.52,133.38,143.2,136.94,137.13,137.16,135.86,104.4,99.82,101.66,105.27,105.27,90.92,110.72,108.53,137.56,128.72,118.98,122.82,116.35,140.48,132.09,138.39,139.24,138.97,132.85,131,128.21,135.32,126.21,123.21,135.19,121.47,109.63,98.62,104.5,82.59,24.82,30.92,11.43,,,,,79.26,104.51,101.29,114.29,127.72,141.73,145.65
"Brazil, Itapoa",,,,,,,,,,,,,,,,,,,,,,,46.04,46.33,61.72,98.56,108.2,105.24,120.35,141.89,161.41,162.47,153.75,145.54,146.67,146.75,152.39,148.64,157.51,159.09,165.25,160.21,152.07,150.99,156.11,155.12,155.65,160.85,163.17,169.83,163.64,164.76,156.56,164.46,181.26,181.63,161.28,161.33,179.41,169.88,160.28,160.47,159.53,149.95,158.88,172.99,173.43,165.75,158.33,162.97,175.01,173.02,188.05,204.45,207.49,199.83,192.68,201.46,210.55,211.13,200.43,204.14
"Brazil, Itaqui",,,,,,,,,,11.18,11.18,11.18,,,,,15.91,15.91,19.48,19.48,20.8,20.8,22.74,22.74,,,10.31,21.61,21.22,10.97,20.59,21.22,21.22,12.9,12.9,12.89,12.89,9.95,9.95,9.95,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil, Macapa",18.12,18.75,21.99,21.99,18.75,,,,,,,,,,,,,,,,,,,,,,,23.47,23.47,23.65,23.65,15.29,15.29,15.29,15.29,16.83,16.83,36.8,36.82,32.24,29.91,29.92,29.92,31.08,25.14,28.95,28.98,27.68,28.35,28.35,39.99,40.07,37.38,37.38,39.87,39.85,40.93,43.51,43.64,43.63,43.16,31.59,31.58,31.52,30.94,42.3,42.31,41.65,33.81,33.93,35.2,46.04,44.79,44.75,44.75,45.78,45.01,43.76,45.69,46.33,45.22,45.21
"Brazil, Maceio",,,,,,,,15.47,17.17,17.43,16.56,16.56,16.56,16.56,16.56,16.56,19.98,19.98,19.98,19.98,19.98,19.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
